ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;ScaleFactor;ModelId;Type
undercity.obj;16826.83;62.54521;15418.95;0;179.5;0;;239598;wmo
silverpinetree04.obj;16755.3;34.88026;15879.4;0;319.811;3.5;1.063477;158460;m2
silverpinetree04.obj;16810.84;35.3979;16010.2;0.5;5.27362;1.5;1.003906;158482;m2
silverpinetree04.obj;16502.19;35.83066;16031.95;0;220.766;3.5;0.8222656;157989;m2
silverpinetree02.obj;16621.89;33.61998;15945.11;0;268.294;2;0.9785156;158003;m2
silverpinetree02.obj;16587.57;34.36913;15968.76;0;306.253;1;0.9667969;158006;m2
silverpinetree02.obj;16795.33;33.8254;15981.13;0;330.808;4.5;0.9267578;158488;m2
tirisfallgladecanopytree03.obj;16719.49;61.39779;15569.41;-5.55403;249.791;3.05722;1.288086;5496563;m2
tirisfallgladecanopytree02.obj;16708.33;61.2009;15584.08;3;140.436;-6;1.069336;5496537;m2
tirisfallgladecanopytree02.obj;16756.68;60.7009;15642.59;0.5;135.004;-10;1;5496538;m2
tirisfallgladecanopytree06.obj;16711.84;61.5898;15590.5;0;324.5888;0;1.199219;5496572;m2
tirisfallgladecanopytree03.obj;17092.19;60.70708;15444.26;0;254.056;0;1.195313;5497746;m2
tirisfallgladecanopytree05.obj;16767.23;60.97868;15653.37;0;296.3937;0;1.15918;5496546;m2
tirisfallgladecanopytree03.obj;16918.07;61.5747;15558.09;0;0;0;1.149414;5496626;m2
tirisfallgladecanopytree06.obj;16872.28;60.3675;15629.77;0.5;119.879;-6.5;1.086914;5496578;m2
silverpinetree02.obj;16607.79;61.57131;15542.65;0;110.36;-1.5;0.734375;199977;m2
silverpinetree02.obj;16538.22;43.1259;15487.02;0;54.86041;-1.5;0.734375;199998;m2
tirisfallgladecanopytree04.obj;16858.14;60.58635;15637.07;-6;118.5;5.5;0.9599609;5496558;m2
tirisfallgladecanopytree06.obj;16746.77;60.55501;15466.99;3.5;52;-1;1;5496624;m2
tirisfallgladecanopytree04.obj;16749.83;61.58979;15666.99;0;329.969;0;1;5496556;m2
tirisfallgladecanopytree05.obj;16994.87;60.21783;15515.23;0;281.643;0;0.9951172;5496638;m2
silverpinetree02.obj;16528.81;47.22063;15616.72;0;187.36;-1.5;0.6640625;199991;m2
tirisfallgladecanopytree03.obj;17057.84;60.66179;15529.13;0;80.2789;0;0.9638672;5497747;m2
tirisfallgladecanopytree05.obj;16960.37;61.55684;15494.58;0;279.336;0;0.953125;5496636;m2
tirisfallgladecanopytree05.obj;16736.93;61.5898;15580.65;0;276.0509;0;0.9150391;5496639;m2
tirisfallgladecanopytree03.obj;16991.54;61.0265;15500.1;0;107.175;0;0.9072266;5496632;m2
tirisfallgladecanopytree06.obj;16833.97;61.2565;15564.72;0;342;0;0.8984375;5496618;m2
tirisfallgladecanopytree03.obj;16637.95;60.08077;15473.81;0;55.20801;0;0.8574219;5496630;m2
tirisfallgladecanopytree05.obj;17042.29;61.6564;15542.57;0;54.4169;0;0.8496094;5497752;m2
tirisfallgladecanopytree05.obj;16914.5;61.43732;15466.43;0;64.34891;0;0.8486328;5496650;m2
tirisfallgladecanopytree05.obj;16725.57;60.92313;15598.64;-10;41.64655;4.5;0.7597656;5496545;m2
tirisfallgladecanopytree06.obj;16851.28;60.75646;15627.13;0;246.5;0;0.8193359;5496577;m2
tirisfallgladecanopytree05.obj;16934.4;61.5783;15565.85;0;147.87;0;0.8164063;5496637;m2
tirisfallgladecanopytree06.obj;16811.57;60.81184;15567.25;1;61;8;0.75;5496617;m2
tirisfallgladecanopytree02.obj;16856.76;60.4787;15627.46;-0.5;37.5;-8;0.6298828;5496535;m2
kalidartreelog02.obj;17004.75;-11.3477;15914.14;2.5;95.43851;9;1.725586;345328;m2
tirisfallgladecanopytree03.obj;16747.85;60.62348;15456.13;0;52;0;0.7685547;5496623;m2
silverpinetree01.obj;16866.32;33.07592;15942.52;0;268.986;2;0.9980469;158490;m2
silverpinetree01.obj;16573.63;37.03043;15944.19;1;85.15759;3.5;0.9824219;158011;m2
tirisfallgladecanopytree03.obj;16951.16;61.26329;15498.74;0;271.294;0;0.7382813;5496631;m2
tirisfallgladecanopytree05.obj;16817.94;61.03423;15567.11;-0.5;61;4.5;0.7099609;5496613;m2
silverpinetree01.obj;16596.86;33.32786;15975.24;0;95.78171;2;0.96875;158017;m2
tirisfallgladecanopytree05.obj;17079.39;61.67692;15457.32;0;274.535;0;0.7255859;5497748;m2
tirisfallgladecanopytree04.obj;16794.4;60.5898;15614.05;-6;80;5.5;0.6484375;5496557;m2
fk_plaguewagon.obj;16828.06;61.47741;15636.57;0;154;0;1;5497787;m2
fk_plaguewagon.obj;16793.89;61.47741;15639.08;0;192.5;0;1;5497786;m2
tirisfallgladecanopytree06.obj;16795.22;60.75646;15602;0;208;0;0.6992188;5496575;m2
tirisfallgladecanopytree02.obj;16799.3;60.47869;15605.67;-0.5;359;-8;0.5585938;5496534;m2
tirisfallgladecanopytree06.obj;16810.01;60.36761;15617.14;0.5;81.379;-6.5;0.6679688;5496574;m2
tirisfallgladecanopytree04.obj;16723.85;60.812;15583.78;0;205.898;0;0.6884766;5496561;m2
silverpinetree01.obj;16724.34;32.9718;15915.28;0.5;228.05;2;0.9091797;158465;m2
tirisfallgladecanopytree05.obj;17050.06;61.65502;15501.27;0;279.237;0;0.6796875;5497751;m2
tirisfallgladecanopytree05.obj;16861.44;60.64381;15634.34;0.5;353.5;-2.5;0.6484375;5496551;m2
tirisfallgladecanopytree05.obj;16798.69;60.64535;15613.97;0.5;315;-2.5;0.6484375;5496548;m2
tirisfallgladecanopytree05.obj;16710.14;61.0898;15636.28;0;305.084;0;0.6455078;5496544;m2
tirisfallgladecanopytree05.obj;16791.13;61.0898;15585.09;0;266.084;0;0.6455078;5496614;m2
silverpinetree02fallen.obj;16564.94;36.54348;15574.45;-0.5;339.483;5;1.046875;200003;m2
tirisfallgladecanopytree03.obj;16768.68;61.312;15648.01;0;33.34009;0;0.609375;5496564;m2
tirisfallgladecanopytree06.obj;16768.25;61.5898;15631.16;0;329.5405;0;0.5791016;5496573;m2
tirisfallgladecanopytree05.obj;16813.73;60.9231;15624.17;0;45.3887;0;0.578125;5496549;m2
tirisfallgladecanopytree03.obj;16706.06;59.8676;15633.92;0;3.631836;0;0.5605469;5496562;m2
tirisfallgladecanopytree03.obj;16789.44;59.8674;15580.69;0;324.632;0;0.5605469;5496615;m2
tirisfallgladecanopytree05.obj;16781.76;60.4295;15528.83;1;359.5;-3;0.5390625;5496550;m2
tirisfallgladecanopytree06.obj;16822.2;61.2565;15626.7;-0.5;192.127;3.5;0.5185547;5496576;m2
tirisfallgladecanopytree06.obj;16742.8;60.7326;15479.51;-0.5;16.62659;3.5;0.5185547;5496625;m2
tirisfallgladecanopytree02.obj;16701.3;60.4781;15642.24;4;314.181;-10;0.4111328;5496536;m2
tirisfallgladecanopytree02.obj;16780.5;60.4231;15584.16;4;275.181;-10;0.4111328;5496612;m2
tirisfallgladecanopytree02.obj;16632.46;60.4231;15558.86;4.65339;107.181;3.19368;0.4111328;5496654;m2
tirisfallfallentree01.obj;16846.04;60.4787;15579.98;1.5;15.56732;-2.5;0.5498047;5496554;m2
tirisfallgladecanopytree05.obj;16770.43;60.8756;15526.88;1;334.33;0;0.4384766;5496547;m2
tirisfallgladecanopytree03.obj;16774.99;60.5157;15530.52;0;92.38129;0;0.4140625;5496565;m2
fk_plaguecistern.obj;16825.7;61.7356;15681.96;0;226.5;0;1;5497785;m2
kalidartreelog02.obj;16814.56;-7.383904;15777.94;17.5;25.7778;8;0.890625;345331;m2
tirisfallgladecanopytree07.obj;16710.97;61.2565;15640.73;0;19.81519;-1;0.9072266;5496571;m2
tirisfallgladecanopytree07.obj;16788.97;61.2565;15589.07;0;340.815;-1;0.9072266;5496616;m2
silverpinetree03.obj;16804.46;33.1577;15937.14;0;36.68439;4.5;1.097656;158503;m2
silverpinetree03.obj;16582.21;34.75709;15908.84;0.5;157.142;1.5;1.083008;158021;m2
silverpinetree03.obj;16596.03;35.83802;15961.74;1;22.2919;2.5;0.9541016;158019;m2
duskwoodbush01.obj;16704.52;60.66771;15527.43;-1.17917;354.561;-1.25158;1.335938;5496540;m2
silverpinetree03.obj;16552.12;44.41255;15615.71;0;50.19189;1.5;0.7861328;199995;m2
fish01.obj;16646.33;16.20803;15797.61;0;131.422;10;1.759766;337705;m2
fish01.obj;16633.14;12.21249;15743.77;0;310.571;0;1.708008;337706;m2
fish01.obj;17053.4;-0.3694297;15764.11;-2;88.11301;5;2.045898;337675;m2
ballistaruined.obj;16730.71;-9.170154;15740.23;-9;137.963;11.5;0.9667969;345332;m2
silverpinetreestump01.obj;16532.96;46.31059;15634.1;0;136.266;0;0.8447266;199982;m2
kalidartreelog01.obj;16891.59;-6.328496;15851.6;0;129.95;0;1.711914;345330;m2
fish01.obj;17000.83;29.1476;15688.02;-6;153.67;-10.5;1.630859;337696;m2
fish01.obj;16874.96;3.831014;15831.7;1;155.439;5.5;1.600586;337686;m2
fk_plaguewagon_empty.obj;16708.62;61.52353;15605.24;0;138.5;0;1;5497791;m2
fish01.obj;16745.06;-3.133949;15749.07;-1.5;175.127;5;1.785156;337691;m2
fk_plaguewagon_empty.obj;16877.83;61.31609;15686.37;0;30.5;0;1;5497789;m2
fk_plaguewagon_empty.obj;16889.04;61.3167;15679.95;0;30;0;1;5497788;m2
silverpinetreestump01.obj;16542.78;44.02011;15512.55;0;111.266;0;0.8447266;199996;m2
fish01.obj;16550.41;29.22082;15873.19;15;202.418;7.5;1.554688;337709;m2
ballistaruined.obj;16832.36;61.5898;15603.62;0;148.661;0;0.9658203;5496651;m2
duskwoodbush02.obj;16788.86;61.5898;15611.95;0;108.5;0;1;5496560;m2
fk_plaguewagon_empty.obj;16864.29;61.31621;15690.12;0;22.5;0;1;5497790;m2
fish01.obj;16766.68;-1.487623;15746.29;-8;81.63089;10.5;1.666016;337692;m2
duskwoodbush01.obj;16656.88;61.2421;15513.81;-0.480098;273.214;0.00800708;0.9873047;5496539;m2
silverpinetreestump01.obj;16543.1;43.78243;15597.88;0;243.766;0;0.7753906;199989;m2
wreckedrowboat.obj;16531.88;16.01698;15783.77;16.5;83.66351;-69;1.373047;345339;m2
fk_tent05.obj;16778.6;61.5195;15678.75;0;212;0;1;5497776;m2
fk_tent02.obj;16808.93;61.4491;15690.1;0;161;0;1;5497771;m2
duskwoodbush04.obj;16727.61;62.0342;15596.83;-18;291.952;-9;1.083984;5496568;m2
duskwoodbush04.obj;16760.2;61.92312;15645.9;5;189.0613;5.5;1.105469;5496569;m2
fish01.obj;16947.56;28.3379;15726.73;0;34.91559;2.5;1.120117;337695;m2
fish01.obj;16956.73;30.60033;15847.6;0.5;220.821;3.5;1.089844;337697;m2
duskwoodbush03.obj;16712.85;61.25646;15587.68;3.5;48.5;0.5;1;5496552;m2
fish01.obj;17007.79;-9.162391;15941.74;0.5;45.88031;2.5;1.066406;337681;m2
fish01.obj;16744.3;29.30546;15800.75;0;53.77969;3;1.060547;337703;m2
fish01.obj;17033.92;-2.811209;15848.17;1;206.066;3.5;1.055664;337677;m2
fish01.obj;16567.19;18.41051;15829.11;1;201.451;5;1.0625;337708;m2
fish01.obj;16798.03;5.443135;15806.59;-1.5;326.353;4;1.012695;337689;m2
fish01.obj;17049.92;-6.018715;15765.47;1.5;9.096954;5;1.163086;337674;m2
fish01.obj;16981.68;-7.057183;15784.18;-1;38.2446;2.5;1.00293;337683;m2
duskwoodbush03.obj;16755.7;61.58979;15667.03;3.5;93.5;-5;1;5496553;m2
fish01.obj;16875.07;-1.295624;15831.21;-6;94.9028;5.5;1.174805;337687;m2
fish01.obj;16922.7;-3.10112;15806.86;5;221.151;6.5;0.9804688;337684;m2
duskwoodbush04.obj;16783.33;61.1779;15528.94;11.5;93.5;-4;1;5496570;m2
duskwoodbush04.obj;16706.41;61.5898;15582.9;0;172;0;1;5496567;m2
fish01.obj;16740.03;-7.439719;15755.01;-0.5;210.834;5;0.9785156;337690;m2
ballistabow01.obj;16802.54;61.5898;15590.59;0;69.11218;0;0.8193359;5496652;m2
duskwoodbush05.obj;16813.07;61.5898;15616.59;0;131;0;1;5496555;m2
fish01.obj;17058.05;4.937962;15727.24;0.5;250.364;9;1.003906;337676;m2
duskwoodbush07.obj;16710.39;60.97499;15533.3;-24;332.592;9;1.72168;5496541;m2
duskwoodbush04.obj;16706.14;61.38628;15630.79;-1.89914;128.452;1.48674;0.9248047;5496566;m2
fish01.obj;16865.65;31.34784;15884.4;-3;283.016;5;1.024414;337701;m2
fish01.obj;16726.57;4.046828;15756.65;1.5;102.747;5;1.009766;337694;m2
fish01.obj;16690.89;28.3886;15972.3;-3.5;351.408;3;1.014648;337748;m2
fk_banner01.obj;16792.85;61.2939;15676.84;0;321.5;0;2;5497784;m2
karazahnbonfire02.obj;16801.35;61.6109;15671.98;0;311.5;0;1.179688;5497770;m2
fish01.obj;16839.47;-1.327721;15772.58;1.5;104.362;6;0.9560547;337688;m2
fish01.obj;17010.76;-5.308033;15862.9;0;195.222;3;0.9472656;337682;m2
fish01.obj;16730.02;-0.7497643;15742.26;1.5;162.251;9;0.9042969;337693;m2
fish01.obj;16895.46;-4.028592;15836.6;2.5;248.639;-11;0.8798828;337685;m2
fish01.obj;16956.79;30.20206;15981.46;0;52.25259;0.5;0.8417969;337698;m2
silverpinebush01.obj;16570.86;37.57;15960.49;0;309.56;3;1.072266;158210;m2
fish01.obj;16691.13;27.16962;15951.53;0;65.59039;2.5;0.8378906;337747;m2
fish01.obj;16655.46;16.7946;15800.85;0.5;102.978;8;0.9003906;337704;m2
fish01.obj;16828.42;31.35567;15820.46;4;86.58591;-8;0.9580078;337702;m2
silverpinebush03.obj;16740.71;31.1728;15845.23;15.5;215.031;14;1.085938;158477;m2
duskwoodbush07.obj;16727.77;61.5886;15569.24;-4.10907;189.049;17.9829;1.640625;5496542;m2
silverpinebush03.obj;16721.77;34.34211;15870.97;1;48.07761;4;1.097656;158475;m2
silverpinebush01.obj;16742.81;34.99425;15887.35;-8;198.683;-6.5;1.005859;158480;m2
fish01.obj;16575.03;15.7682;15745.94;6;259.307;9;0.8046875;337707;m2
silverpinebush01.obj;16629.43;34.2629;15949.1;0;238.466;1;0.9541016;158212;m2
silverpinebush01.obj;16829.51;35.60579;15987.61;0;328.062;0;0.9472656;158508;m2
silverpinebush01.obj;16597.07;35.41653;15968.61;-3.5;236.477;-3;0.9130859;158211;m2
silverpinebush03.obj;16722.76;33.64065;15915.94;-9.5;207.626;-3.5;1.018555;158474;m2
silverpinebush03.obj;16593.53;35.08269;15914.52;12.5;156.34;-1.5;1.026367;158208;m2
silverpinebush03.obj;16864.46;35.05417;15961.59;7.5;197.518;12;1.074219;158505;m2
silverpinebush01.obj;16613.48;34.446;15921.94;-6;273.381;6;1.09375;158207;m2
fk_wagon02.obj;16801.09;61.4052;15686.66;0;323.5;0;1;5497772;m2
silverpinebush03.obj;16534.29;34.09483;15895.39;-7;72.457;-25.5;0.9697266;158246;m2
silverpinebush03.obj;16652.63;39.27007;15870.63;5;62.82172;-37.5;0.9072266;158481;m2
duskwoodspookybush03.obj;16855.79;61.7565;15585.56;0;28.16821;-1.5;1.083008;5496559;m2
silverpinetreestump02.obj;16615.25;34.3435;15925.06;0;273.063;2;0.9511719;158236;m2
waterhut02.obj;16693.31;34.07983;15854.98;1.5;110.218;-6.5;1.018555;160065;m2
