ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;ScaleFactor;ModelId;Type
ruinedhumanguardtower01.obj;17596.63;81.6455;14915.69;0;91.5;0;;132839;wmo
swampdock01.obj;17094.25;20.055;14460.78;0;107;0;;140882;wmo
bird01.obj;17124.34;20.0815;14764;0;25;0;1.938477;333864;m2
tirisfallgladecanopytree02.obj;17314.3;34.79277;14485.97;-8;165;-17.5;1;129830;m2
tirisfallgladecanopytree04.obj;17428.67;66.42571;14718.2;-0.5;219.044;9.5;1.128906;130015;m2
tirisfallgladecanopytree04.obj;17576.73;88.62231;14437.43;-0.5;75.0444;9.5;1.128906;129761;m2
tirisfallgladecanopytree02.obj;17096.57;26.64565;14536.2;1;0;-2;1;85529;m2
tirisfallgladecanopytree02.obj;17299.24;39.65371;14678.98;1;0;-2;1;133029;m2
tirisfallgladecanopytree02.obj;17425.71;79.20982;14566.81;1;95.5;-2;1;129840;m2
tirisfallgladecanopytree02.obj;17571.8;74.06815;14611.64;1;0;-2;1;132638;m2
tirisfallgladecanopytree02.obj;17420.44;75.78465;14914.18;1;263;-2;1;132748;m2
tirisfallgladecanopytree02.obj;17409.38;75.83749;14899.06;1;254;-2;1;132749;m2
tirisfallgladecanopytree02.obj;17347.96;58.04444;14894.13;1;286.5;-2;1;139245;m2
tirisfallgladecanopytree02.obj;17331.79;54.72901;14884.67;1;277.5;-2;1;139248;m2
tirisfallgladecanopytree02.obj;17439.89;76.99792;14578.77;1;95.5;-2;1;129850;m2
tirisfallgladecanopytree02.obj;17600.22;74.77124;14679.93;1;254.5;-2;1;132642;m2
tirisfallgladecanopytree02.obj;17262.4;41.51138;14919.68;1;308.5;-2;1;133033;m2
tirisfallgladecanopytree04.obj;17367.11;63.07765;14550.31;-0.5;70.5444;9.5;1.088867;139367;m2
tirisfallgladecanopytree02.obj;17104.22;32.47823;14491.19;0;73;0;1;85527;m2
tirisfallgladecanopytree02.obj;17137.21;27.43007;14481.18;0;0;0;1;85524;m2
tirisfallgladecanopytree02.obj;17045.33;25.22417;14418.54;1;348;-2;0.9384766;139476;m2
