ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;ScaleFactor;ModelId;Type
ruinedhumanguardtower01.obj;16342.95;48.936;15267.99;0;88;0;;85537;wmo
undercity.obj;16826.83;62.54521;15418.95;0;179.5;0;;239598;wmo
hfjord_fog_01.obj;16274.79;15.01915;14876.04;0;8;0;1.169922;5600957;m2
tirisfallgladecanopytree05.obj;16388.35;43.4628;15313.8;-1;311;2;1.509766;94280;m2
tirisfallgladecanopytree02.obj;15964.53;37.24779;15056.16;-4.5;136.569;-7;1.205078;6028730;m2
silverpinetree02.obj;16124.35;170.9228;15486.43;0;329.995;2;1;130813;m2
silverpinetree02.obj;16462.7;40.04198;15399.74;0;0;0;1;199771;m2
tirisfallgladecanopytree02.obj;15980.24;33.15554;15149.16;-3;204.198;-6.5;1.166016;119587;m2
tirisfallgladecanopytree04.obj;16405.57;69.9276;15431.24;-0.5;38.5444;9.5;1.199219;199758;m2
tirisfallgladecanopytree02.obj;16023.92;36.12582;15074.08;0;180;-11.5;1;120452;m2
tirisfallgladecanopytree06.obj;16001.54;43.24831;15268.97;0;346.761;0;1.236328;119611;m2
tirisfallgladecanopytree04.obj;16240.38;50.6547;15296.93;-0.5;255.044;9.5;1.128906;122144;m2
tirisfallgladecanopytree04.obj;16133.7;41.53631;15236.97;-0.5;255.044;9.5;1.128906;120477;m2
tirisfallgladecanopytree04.obj;16216.14;34.5123;15051.64;-0.5;288.044;9.5;1.128906;122070;m2
tirisfallgladecanopytree06.obj;16042.33;33.00257;15144.05;0.5;93.879;-6.5;1.167969;119580;m2
tirisfallgladecanopytree06.obj;16116.67;34.8398;15067.45;0.5;139.379;-6.5;1.167969;122097;m2
tirisfallgladecanopytree02.obj;16368.2;47.71492;15321.38;0;18.5;0;1.029297;94277;m2
tirisfallgladecanopytree05.obj;16205.35;60.12565;15320.39;0;66.89221;0;1.185547;122139;m2
tirisfallgladecanopytree05.obj;16134.6;34.85759;15209.06;0;67.39221;0;1.185547;120475;m2
tirisfallgladecanopytree05.obj;16212.36;41.04882;15144.61;0;13.89221;0;1.185547;122136;m2
tirisfallgladecanopytree02.obj;16060.64;44.89057;15288.39;0.5;69.70529;-5.5;0.9511719;119548;m2
tirisfallgladecanopytree04.obj;16054.25;47.12059;15299.41;-0.5;7.188843;6.5;1.088867;119547;m2
tirisfallgladecanopytree06.obj;15978.83;35.02411;15016.79;0;238.3447;0;1.161133;119606;m2
tirisfallgladecanopytree04.obj;16028.98;32.30275;15063.54;-6.5;50;-10;1;120451;m2
tirisfallgladecanopytree03.obj;15971.91;39.59533;14989.07;0;139.344;0;1.143555;119623;m2
tirisfallgladecanopytree03.obj;16015.02;38.40358;15111.01;0;159.252;0;1.143555;119577;m2
tirisfallgladecanopytree06.obj;16466.7;43.86002;15450.73;0.5;359.879;-6.5;1.086914;199766;m2
tirisfallgladecanopytree06.obj;16062.43;31.0355;15054.55;0;25.59891;0;1.121094;120471;m2
tirisfallgladecanopytree06.obj;16034.13;36.6354;15073.41;0;185.949;-4;1.085938;120453;m2
tirisfallgladecanopytree04.obj;16128.99;34.11971;15122.18;-6;232;5.5;1;120496;m2
tirisfallgladecanopytree04.obj;16146.59;36.12808;15070.97;-6;49;5.5;1;122048;m2
tirisfallgladecanopytree04.obj;16337.13;41.92702;15061.91;-6;49;5.5;1;127524;m2
tirisfallgladecanopytree04.obj;16314.34;36.95438;15189.37;-6;49;5.5;1;127536;m2
silverpinetree02.obj;16538.22;43.1259;15487.02;0;54.86041;-1.5;0.734375;199998;m2
tirisfallgladecanopytree05.obj;16409.5;68.99653;15421.56;1;143.5;-3;1.069336;199759;m2
tirisfallgladecanopytree04.obj;16376.12;57.14775;15359.98;0;327.5;0;1.088867;94282;m2
tirisfallgladecanopytree04.obj;16466.21;42.48792;15435.2;-6;358.5;5.5;0.9599609;199768;m2
tirisfallgladecanopytree04.obj;15975.3;35.69444;15062.9;-4;211.263;5.5;0.9755859;119603;m2
tirisfallgladecanopytree05.obj;16071.44;32.95015;15036.32;0;29.664;0;1.063477;120469;m2
tirisfallgladecanopytree05.obj;16421.5;68.50954;15433.84;1;118.33;0;1.048828;199763;m2
tirisfallgladecanopytree02.obj;16010.24;36.45193;15119.69;-1;211.517;-8.5;0.8398438;119578;m2
tirisfallgladecanopytree05.obj;16155.92;32.52908;14934.76;-1.5;184.016;-2.5;1.015625;127464;m2
tirisfallgladecanopytree03.obj;16379.91;48.62581;15335.57;-1;301.5;-3;1;94278;m2
tirisfallgladecanopytree04.obj;16186.28;34.58828;14919.64;-2.5;265;10.5;0.9199219;126743;m2
tirisfallgladecanopytree04.obj;16503.9;35.11843;14987.56;-0.5;12.5444;9.5;0.9384766;127504;m2
tirisfallgladecanopytree04.obj;16374.63;41.24672;15128.84;-0.5;156.044;9.5;0.9384766;139377;m2
tirisfallgladecanopytree06.obj;16515.6;49.22515;15147.21;2;341.347;-1.5;1;88573;m2
tirisfallgladecanopytree05.obj;16136.1;42.98287;15246.48;1;0;-3;1;120495;m2
tirisfallgladecanopytree05.obj;16223.33;36.62526;15058.31;1;33;-3;1;122074;m2
tirisfallgladecanopytree05.obj;16017.36;35.81318;14928.65;1;337;-3;1;122080;m2
tirisfallgladecanopytree05.obj;16242.78;56.86319;15306.44;1;0;-3;1;122149;m2
tirisfallgladecanopytree06.obj;16243.5;38.06318;15102.43;0.5;139.379;-6.5;0.9667969;122094;m2
tirisfallgladecanopytree05.obj;16380.33;42.80819;15030.92;0;0;-1.5;1;100695;m2
tirisfallgladecanopytree05.obj;16289.07;40.35102;15243.2;0;279;-1.5;1;122188;m2
tirisfallgladecanopytree05.obj;16194.22;33.78548;15164.89;0;308.5;-1.5;1;122193;m2
tirisfallgladecanopytree05.obj;16370.33;65.53475;15379;0;32.5;0.5;1;94284;m2
tirisfallgladecanopytree04.obj;16546.35;49.49201;15026.45;0;236.469;0;1;88568;m2
tirisfallgladecanopytree03.obj;16373.4;42.94048;15028.01;0;0;0;1;100691;m2
tirisfallgladecanopytree03.obj;15996.02;38.04595;15226.63;0;0;0;1;119568;m2
tirisfallgladecanopytree03.obj;16290.86;39.58559;15235.89;0;279;0;1;122186;m2
tirisfallgladecanopytree03.obj;16192.18;33.80042;15157.64;0;308.5;0;1;122191;m2
tirisfallgladecanopytree04.obj;16527.5;34.71258;15230.62;-0.5;358.044;9.5;0.9091797;332992;m2
tirisfallgladecanopytree04.obj;16545.88;33.31383;15413.33;-0.5;358.044;9.5;0.9091797;332997;m2
tirisfallgladecanopytree05.obj;16346.19;33.6842;14969.35;1;86.5;-3;0.9697266;127514;m2
tirisfallgladecanopytree05.obj;16003.79;34.64078;14920.1;1;311.83;0;0.9785156;122078;m2
tirisfallgladecanopytree05.obj;16120.27;39.68558;15243.92;1;334.83;0;0.9785156;120480;m2
tirisfallgladecanopytree05.obj;16208.66;35.923;15064.78;1;7.82959;0;0.9785156;122072;m2
tirisfallgladecanopytree05.obj;16226.95;56.02225;15303.88;1;334.83;0;0.9785156;122146;m2
tirisfallgladecanopytree04.obj;16519.9;45.00959;14913.22;-0.5;71.5444;9.5;0.8984375;127439;m2
tirisfallgladecanopytree04.obj;16434.52;42.54236;15076.27;-0.5;0.5444336;9.5;0.8984375;127451;m2
tirisfallgladecanopytree05.obj;16225.45;36.55472;15018.22;-1;205;-10;0.9199219;126752;m2
tirisfallgladecanopytree04.obj;16101.83;63.12056;15328.22;3;241.391;21.5;0.8105469;120490;m2
tirisfallgladecanopytree02.obj;15994.66;43.17603;15276.29;-20.5;269.854;-11;0.6904297;119608;m2
tirisfallgladecanopytree05.obj;16342.77;35.03297;14984.52;1;61.32959;0;0.9492188;127512;m2
tirisfallgladecanopytree03.obj;16071.29;37.40248;15158.04;0;167.184;0;0.9560547;119573;m2
tirisfallgladecanopytree03.obj;16295.38;39.35396;15095.83;0;238.684;0;0.9560547;122035;m2
tirisfallgladecanopytree04.obj;16371.04;38.42213;15204.43;-0.5;258.544;9.5;0.8691406;127516;m2
bird02.obj;16466.13;35.32774;14954.14;0;310;0;1.208984;333869;m2
tirisfallgladecanopytree05.obj;16105.78;56.59212;15304.47;0;8.866241;-4.5;0.9160156;120485;m2
tirisfallgladecanopytree04.obj;16467.28;35.56844;15341.5;-0.5;6.544403;9.5;0.8486328;199752;m2
tirisfallgladecanopytree04.obj;16405.54;39.22187;15169.13;-0.5;6.544403;9.5;0.8486328;139562;m2
tirisfallgladecanopytree04.obj;16417.45;36.24068;15038.97;-0.5;6.544403;9.5;0.8486328;139568;m2
tirisfallgladecanopytree02.obj;16096.98;36.86251;15083.73;1.5;98.4556;-6;0.7480469;120462;m2
tirisfallgladecanopytree06.obj;16082.33;37.98159;15153.53;0;213.02;0;0.9267578;119612;m2
tirisfallgladecanopytree06.obj;16089.67;35.49604;14955.37;0;359.52;0;0.9267578;122028;m2
tirisfallgladecanopytree06.obj;16294.54;41.01619;15083.72;0;284.5204;0;0.9267578;122033;m2
tirisfallgladecanopytree06.obj;16197.01;33.00332;14919.74;0;99;0;0.9199219;126745;m2
tirisfallgladecanopytree06.obj;16229.48;34.76168;14988.65;0;205;0;0.9199219;126750;m2
tirisfallgladecanopytree06.obj;16524.85;45.68114;15057.73;0;76.76721;0;0.9179688;127484;m2
tirisfallgladecanopytree06.obj;15982.84;34.45752;15139.96;0;138.267;0;0.9179688;119588;m2
tirisfallgladecanopytree06.obj;16171.54;36.26311;14996.66;0;26.76721;0;0.9179688;127478;m2
tirisfallgladecanopytree02.obj;16093.47;60.66271;15329.97;-5.5;122.758;-8.5;0.7080078;120489;m2
tirisfallgladecanopytree02.obj;16003.06;33.06137;15168.86;1;24.96249;11.5;0.71875;119553;m2
tirisfallgladecanopytree04.obj;16487.53;33.86124;15036.87;-6;143.5;5.5;0.8193359;127540;m2
tirisfallgladecanopytree02.obj;16066.53;35.80295;15238.82;1;125.686;-10.5;0.7060547;119614;m2
tirisfallgladecanopytree04.obj;16380.96;44.08877;15307.43;-1;159.5;2;0.8486328;94276;m2
tirisfallgladecanopytree05.obj;16016.61;36.39501;15065.86;0;219.349;-4;0.8515625;120455;m2
tirisfallgladecanopytree02.obj;15970.32;35.71132;14939.02;-3;322.198;-6.5;0.6875;122129;m2
tirisfallgladecanopytree06.obj;16160.71;33.13868;14936.83;-2.5;217.415;6;0.8154297;127465;m2
tirisfallgladecanopytree06.obj;16121.99;35.23594;15132.19;0;0;0;0.859375;120498;m2
tirisfallgladecanopytree06.obj;16049.8;33.62891;14984.25;0;0;0;0.859375;122041;m2
tirisfallgladecanopytree06.obj;16154.11;37.41318;15061.34;0;177;0;0.859375;122049;m2
tirisfallgladecanopytree06.obj;16344.65;42.42029;15052.28;0;177;0;0.859375;127525;m2
tirisfallgladecanopytree06.obj;16289.22;37.25695;15001.27;0;207;0;0.859375;127533;m2
tirisfallgladecanopytree06.obj;16321.86;37.85518;15179.74;0;177;0;0.859375;127537;m2
tirisfallgladecanopytree05.obj;16370.04;41.86081;15115.03;1;235.83;0;0.8486328;139381;m2
tirisfallgladecanopytree06.obj;16396.71;39.47695;14992.05;-2;244.684;-4;0.8085938;127561;m2
tirisfallgladecanopytree05.obj;16365.23;41.1434;15129.65;1;261;-3;0.8193359;139379;m2
