ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet
shadowfangchair02.obj;13.931800000;-30.037720000;-0.521009000;0.939692600000000;0.000000000000000;0.000000000000000;-0.342020100000000;1;set_Big01
brokenbarrel02.obj;15.979710000;-30.093330000;-0.521034100;0.996194700000000;0.000000000000000;0.000000000000000;-0.087155680000000;0.9999998;set_Big01
shadowfangtable02.obj;-1.271293000;2.521219000;-0.594879000;0.707106800000000;0.000000000000000;0.000000000000000;0.707106800000000;1;set_Big01
duskwoodruinsbeam.obj;15.521750000;-5.499735000;2.013075000;0.643186600000000;0.300181600000000;0.240924500000000;-0.661934600000000;0.9999999;set_Big01
rail_wooden02.obj;9.473722000;-20.616200000;-0.223794500;0.683804800000000;-0.185991100000000;-0.682207600000000;-0.180030700000000;1;set_Big01
brokenbarrel02.obj;-9.829868000;-13.388510000;-0.521034100;0.994968500000000;0.000000000000000;0.000000000000000;0.100188100000000;1;set_Big01
shadowfangchair01.obj;15.053650000;2.307167000;-0.098972950;0.405579800000000;0.579228000000000;-0.405579800000000;0.579228000000000;1;set_Big01
shadowfangbench01.obj;-7.474822000;-13.139340000;-0.469506400;1.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1;set_Big01
duskwoodwardrobe01.obj;-8.684602000;5.823359000;4.221025000;0.707106800000000;0.000000000000000;0.000000000000000;-0.707106800000000;1;set_Big01
duskwoodbench.obj;-15.113370000;-0.882379400;4.249053000;0.173648100000000;0.000000000000000;0.000000000000000;-0.984807700000000;0.9999999;set_Big01
westfallchair.obj;6.604263000;-28.863220000;4.270213000;1.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;1;set_Big01
cauldronempty.obj;-12.431220000;2.380165000;-0.533646700;0.531539300000000;-0.023080550000000;0.010135860000000;-0.846658400000000;1;set_Big01
duskwoodbench.obj;-11.061250000;2.026190000;4.646172000;0.221788700000000;0.687458200000000;0.261440400000000;-0.640203100000000;1;set_Big01
shadowfangchair02.obj;16.153960000;2.787088000;-0.521009000;0.333806900000000;0.000000000000000;0.000000000000000;-0.942641500000000;1;set_Big01
