ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;ScaleFactor;ModelId;Type
ruinedhumanguardtower01.obj;17596.63;81.6455;14915.69;0;91.5;0;;132839;wmo
nd_forsaken_wall.obj;17847.96;68.4972;15395.54;0;270.144;0;;5527885;wmo
nd_forsaken_wall_end.obj;17848.08;66.1487;15372.32;0;89.40948;0;;5527886;wmo
nd_forsaken_wall_end.obj;17848.41;69.58622;15328.85;0;270.4095;0;;5527887;wmo
nd_forsaken_wall.obj;17848.04;71.6714;15309.03;0;91.1441;0;;5527888;wmo
nd_forsaken_wall_end.obj;17845.56;122.621;15437.83;0;271.3381;0;;5527940;wmo
nd_forsaken_wall_end.obj;17891.28;118.42;15217.52;0;231.223;0;;5527941;wmo
nd_forsaken_wall_small.obj;17865.33;64.58799;15368.27;0;343.985;0;;5528272;wmo
nd_forsaken_wall_small_end.obj;17876.13;64.2459;15371.63;0;71.44092;0;;5528273;wmo
nd_forsaken_wall_small.obj;17881.42;63.86457;15380.78;0;294.4854;0;;5528274;wmo
nd_forsaken_wall_small_end.obj;17886.26;65.97421;15391.2;0;27.44092;0;;5528275;wmo
nd_forsaken_wall_small.obj;17865.88;65.352;15331.5;0;17.48541;0;;5528276;wmo
nd_forsaken_wall_small_end.obj;17876.73;66.51723;15328.34;0;104.9409;0;;5528277;wmo
nd_forsaken_wall_small.obj;17880.11;65.4006;15317.84;0;72.98541;0;;5528278;wmo
nd_forsaken_wall_small_end.obj;17883.65;67.1668;15307.1;0;160.441;0;;5528279;wmo
nd_forsaken_wall_small_wide.obj;17773.07;54.06459;15329.56;0;269.5;0;;5846651;wmo
nd_forsaken_wall_small_wide_end.obj;17772.28;53.55519;15342.53;0;0;0;;5846652;wmo
nd_forsaken_wall_small_wide_end.obj;17772.33;53.5726;15320.95;0;0;0;;5846653;wmo
nd_forsaken_wall_small_wide.obj;17772.91;54.06359;15307.58;0;269.5;0;;5846654;wmo
nd_forsaken_wall_small_wide_end.obj;17772.52;54.8553;15295.65;0;0;0;;5846655;wmo
nd_forsaken_wall_small_wide.obj;17778;54.11571;15285.59;0;231.5;0;;5846656;wmo
nd_forsaken_wall_small_wide_end.obj;17785.22;55.4131;15276.85;0;318.5;0;;5846657;wmo
nd_forsaken_wall_small_wide_end.obj;17772.76;52.2471;15371.26;0;358.5;0;;5846658;wmo
nd_forsaken_wall_small_wide_end.obj;17772.17;52.3118;15394.21;0;359;0;;5846659;wmo
nd_forsaken_wall_small_wide_end.obj;17773.83;52.27819;15416.79;0;37.5;0;;5846660;wmo
nd_forsaken_wall_small_wide.obj;17772.77;52.6823;15382.45;0;269.5;0;;5846661;wmo
nd_forsaken_wall_small_wide.obj;17772.74;52.6766;15405.86;0;269.5;0;;5846662;wmo
nd_forsaken_wall_small_wide.obj;17782.11;51.8387;15423.5;0;321.5;0;;5846663;wmo
tirisfallgladecanopytree02.obj;17610.19;50.86652;15015.38;1;0;-2;1;132634;m2
tirisfallgladecanopytree06.obj;17607.15;44.17748;15407.16;0;82.8121;0;1.19043;143376;m2
tirisfallgladecanopytree06.obj;17984.53;97.56281;14934.19;0.5;213.879;-6.5;1.136719;130096;m2
tirisfallgladecanopytree04.obj;17777.4;65.06596;14945.5;-0.5;83.5444;9.5;1.049805;130039;m2
tirisfalgladetree01.obj;18007.45;112.6066;15197.42;0.5;340.631;-4.5;1.145508;154028;m2
tirisfalgladetree01.obj;18089.34;69.0456;15220.1;-5.5;24.63098;0;1.145508;154029;m2
tirisfallgladecanopytree02.obj;17965.01;67.033;15482.03;0;320.481;0;0.9648438;154269;m2
tirisfallgladecanopytree06.obj;17766.43;49.43564;15435.63;0;358.812;0;1.120117;143384;m2
tirisfallgladecanopytree06.obj;17831.81;72.38282;14913.42;0;347;0;1.118164;130046;m2
tirisfallgladecanopytree04.obj;17637.46;54.82207;15048.65;-0.5;197.544;9.5;1.018555;132555;m2
tirisfallgladecanopytree06.obj;17612;40.75624;15282.54;0;188.3121;0;1.110352;132856;m2
tirisfallgladecanopytree06.obj;17720.21;51.90842;15456.69;0;264.812;0;1.109375;143288;m2
tirisfallgladecanopytree06.obj;17688.88;84.21362;14914.98;0;188.312;0;1.109375;132848;m2
tirisfallgladecanopytree06.obj;17701.38;63.87328;15033.51;0;188.312;0;1.109375;132852;m2
tirisfallgladecanopytree06.obj;17831.29;67.26986;15207.08;0;259.812;0;1.109375;154250;m2
tirisfallgladecanopytree06.obj;17709.64;44.10634;15298.7;0;345.812;0;1.109375;143292;m2
tirisfalgladetree01.obj;18042.23;73.9146;15352.62;0.5;340.631;-4.5;1.074219;154021;m2
tirisfalgladetree01.obj;18001.36;67.87436;15445.78;0.5;340.631;-4.5;1.074219;154022;m2
tirisfalgladetree01.obj;17992.86;70.12901;15293.87;0.5;340.631;-4.5;1.074219;154020;m2
tirisfallgladecanopytree05.obj;18064.82;81.56292;15225.48;-1.5;0;10;1;154506;m2
tirisfallgladecanopytree06.obj;17601.58;48.20033;15017.98;1;0;8;1;132636;m2
tirisfallgladecanopytree05.obj;18093.31;76.34892;15141.61;-1;0;-7;1;154508;m2
tirisfallgladecanopytree04.obj;17673.82;57.3103;15095.72;-0.5;228.544;9.5;0.9492188;132806;m2
tirisfallgladecanopytree06.obj;18073.48;81.95995;15280.25;-1;0;4.5;1;154505;m2
tirisfallgladecanopytree06.obj;17594.16;43.31851;15133.19;3.5;346;-1;1;132681;m2
tirisfallgladecanopytree04.obj;17668.52;42.3614;15313.67;-0.5;265.044;9.5;0.9384766;132560;m2
tirisfallgladecanopytree06.obj;18058.73;71.97936;15168.35;-6;173.348;-4;0.9580078;154511;m2
tirisfallgladecanopytree05.obj;18153.09;65.20072;15329.2;-1;145.117;-10.5;0.9511719;154234;m2
tirisfallgladecanopytree06.obj;18045.81;73.08344;15276.92;-14.5;132.082;5.5;0.8974609;154298;m2
tirisfallgladecanopytree06.obj;17744.32;50.03632;15231.04;0.5;48.379;-6.5;0.9472656;132570;m2
tirisfallgladecanopytree05.obj;17605.87;48.58126;15025.39;-0.5;0;4.5;0.9599609;132637;m2
tirisfallgladecanopytree05.obj;17987.2;69.74947;15339.63;0;42.96881;0;0.9736328;154286;m2
tirisfallgladecanopytree02.obj;17702.49;52.96888;15146.65;1;212.5;-2;0.8085938;132650;m2
tirisfallgladecanopytree05.obj;18103.22;70.63741;15389.24;1;200.825;1;0.9355469;154453;m2
tirisfallgladecanopytree05.obj;18120.53;76.24113;15170.35;-1;27.80731;-9;0.9023438;154113;m2
tirisfallgladecanopytree05.obj;17615.71;59.10039;14979.64;-1;190.5;-10;0.8984375;132663;m2
tirisfallgladecanopytree05.obj;17586.37;39.93171;15077.29;-1;190.5;-10;0.8984375;132666;m2
tirisfallgladecanopytree05.obj;17612.09;40.29093;15348.99;-1;140;-10;0.8984375;132669;m2
tirisfallgladecanopytree05.obj;17600.62;48.91052;15450.67;-1;13;-10;0.8984375;143310;m2
tirisfallgladecanopytree02.obj;17944.9;70.36598;15254.51;0;158.424;0;0.8085938;154304;m2
tirisfallgladecanopytree05.obj;18092.51;73.25248;15325.64;-7.5;234.093;-2.5;0.8886719;154281;m2
tirisfallgladecanopytree05.obj;17773.97;66.00822;14937.1;1;188.5;-3;0.9199219;130040;m2
tirisfallgladecanopytree05.obj;17992.99;69.87413;15339.45;-3.5;200.43;6.5;0.8886719;154309;m2
tirisfallgladecanopytree02.obj;17954.09;69.20772;15331.15;-1;196.243;-6;0.7617188;154130;m2
tirisfallgladecanopytree06.obj;17975.49;67.29787;15270.41;-9.5;146.914;6;0.8505859;154302;m2
tirisfallgladecanopytree06.obj;18107.06;73.49601;15451.53;3;349.433;-3.5;0.8847656;154194;m2
tirisfallgladecanopytree05.obj;18113.73;71.55933;15423.94;-7;226.853;3.5;0.8662109;154187;m2
bird01.obj;17968.04;140.1222;15448.17;0;289.972;0;1.05957;5807638;m2
tirisfallgladecanopytree05.obj;17981.12;67.84644;15395.49;-3;266.822;4;0.8828125;154257;m2
tirisfallgladecanopytree06.obj;18121.78;66.31107;15264.23;-2;128.896;-8.5;0.8623047;154238;m2
tirisfallgladecanopytree05.obj;17963.75;70.34345;15412.2;0;50.79138;0;0.9160156;154288;m2
tirisfallgladecanopytree02.obj;18042.1;72.35476;15274.37;0;166.9686;0;0.78125;154297;m2
bird01.obj;18020.12;137.8571;15337.41;0;5.472473;0;1.05957;5807637;m2
tirisfallgladecanopytree04.obj;17734.52;48.00222;15221.48;-6;47;5.5;0.8193359;132572;m2
tirisfallgladecanopytree05.obj;17631.37;54.98632;15054.98;1;302.5;-3;0.8886719;132556;m2
tirisfallgladecanopytree02.obj;18153.28;71.11908;15163.73;-7;296.582;-2.5;0.7236328;154109;m2
bird01.obj;17993.71;145.262;15427.47;0;295.972;0;1.05957;5807636;m2
tirisfallgladecanopytree05.obj;17788.71;66.34715;14937.28;1;163.3296;0;0.8984375;130038;m2
tirisfallgladecanopytree06.obj;17921.4;77.19028;15475.58;-8.5;59.15219;2.5;0.8417969;154314;m2
tirisfallgladecanopytree06.obj;18085.09;70.39336;15193.54;0;305.341;-3.5;0.8828125;154246;m2
tirisfallgladecanopytree04.obj;17956.48;70.88108;15328.44;0;22.57761;0;0.9003906;154131;m2
tirisfallgladecanopytree06.obj;17590.89;40.13385;15073.5;0;197.5;0;0.8984375;132667;m2
tirisfallgladecanopytree06.obj;17617.9;41.58138;15350.06;0;147;0;0.8984375;132670;m2
tirisfallgladecanopytree06.obj;17596.27;50.02241;15454.66;0;20;0;0.8984375;143312;m2
tirisfallgladecanopytree06.obj;17620.24;59.77741;14975.84;0;197.5;0;0.8984375;132664;m2
tirisfallgladecanopytree05.obj;18134.86;69.68749;15461.74;0;324.337;0;0.8974609;154279;m2
tirisfallgladecanopytree05.obj;17937.38;60.30845;15297.5;-2.5;81.41119;-9;0.8447266;154308;m2
tirisfallgladecanopytree02.obj;17929.25;66.24088;15428.06;0;89.10779;0;0.7666016;154253;m2
tirisfallgladecanopytree06.obj;18085.08;71.76925;15216.05;8.5;214.02;-4;0.8291016;154242;m2
tirisfallgladecanopytree05.obj;18136.55;67.91891;15401.63;2;358.343;3.5;0.8603516;154185;m2
tirisfallgladecanopytree05.obj;18123.95;61.7766;15214.56;-2;248.222;-5.5;0.8515625;154458;m2
tirisfallgladecanopytree05.obj;18107.67;69.87341;15388.8;8.5;137.262;1.5;0.8359375;154455;m2
tirisfallgladecanopytree05.obj;17903.3;68.74735;15464.22;0;189.531;0;0.8867188;154312;m2
tirisfallgladecanopytree05.obj;18140.92;61.38534;15192.43;7;147.024;2.5;0.8359375;154115;m2
tirisfallgladecanopytree06.obj;18115.83;71.14138;15484.85;0;210.922;0;0.8798828;154193;m2
tirisfallgladecanopytree05.obj;17948.71;68.91836;15323.83;-4;335.774;0;0.8554688;154134;m2
tirisfallgladecanopytree05.obj;18129.39;69.07336;15299.66;-3.5;213.68;0;0.8554688;154235;m2
tirisfallgladecanopytree05.obj;17625.73;54.63202;15041.89;1;277.33;0;0.8691406;132554;m2
tirisfallgladecanopytree04.obj;17669.55;41.12651;15249.55;-0.5;329.544;9.5;0.7998047;132783;m2
tirisfallgladecanopytree06.obj;17759.99;54.01099;15279.52;0.5;289.379;-6.5;0.8378906;143328;m2
tirisfallgladecanopytree06.obj;17695.29;46.31358;15410.29;0.5;190.379;-6.5;0.8378906;143335;m2
tirisfallgladecanopytree03.obj;17963.13;69.83881;15330.2;0;329.612;0;0.8730469;154132;m2
tirisfallgladecanopytree05.obj;18092.16;76.79977;15145.33;5.5;0;0;0.8398438;154509;m2
tirisfallgladecanopytree05.obj;18056.12;74.1459;15323.15;0;212.933;0;0.8691406;154291;m2
tirisfallgladecanopytree06.obj;18056.26;74.19063;15327.88;-2;197.98;-10.5;0.8066406;154293;m2
tirisfallgladecanopytree05.obj;17917.72;61.79407;15312.18;-1.5;81.59799;-5.5;0.8291016;154117;m2
tirisfallgladecanopytree06.obj;17707.24;54.7702;15141.13;1;212.5;8;0.8085938;132652;m2
tirisfallgladecanopytree06.obj;17627.81;45.42098;15164.63;0.5;286.379;-6.5;0.8173828;132836;m2
tirisfallgladecanopytree06.obj;17925.07;77.65061;15479.04;0;22.30292;0;0.8466797;154315;m2
tirisfallgladecanopytree05.obj;17951.8;61.90603;15450.59;0;23.31372;0;0.8447266;154310;m2
tirisfallgladecanopytree05.obj;17994.38;68.70029;15445.47;-2;68.6886;-7.5;0.8017578;154472;m2
tirisfallgladecanopytree05.obj;18029.3;73.09878;15320.03;-2;197.87;10.5;0.7910156;154285;m2
tirisfallgladecanopytree05.obj;17671.94;57.3177;15103.64;1;333.5;-3;0.8193359;132807;m2
tirisfallgladecanopytree06.obj;18016.65;70.74979;15412.85;0;348.156;0;0.8378906;154261;m2
tirisfallgladecanopytree06.obj;18118.22;61.0465;15212.23;1.5;357.803;3.5;0.8066406;154460;m2
tirisfallgladecanopytree06.obj;17997.11;69.6933;15365.7;10;287.29;-2;0.7705078;154260;m2
tirisfallgladecanopytree05.obj;17671.68;43.84389;15321.07;1;10;-3;0.8085938;132561;m2
